game_id,emp_sample_complexity,emp_simulation_complexity
69244183,191604,4790100
10161875,237383,10430749
62455810,210765,4486869
43839170,237383,16118768
83971566,174186,2902792
50875699,237383,21705088
17707718,174186,2450225
31151945,237383,12305612
60014598,191604,2449170
99852884,237383,22047166
29663644,143955,2219984
16528440,237383,18819756
61329978,143955,2916919
19708921,237383,11271622
94135441,191604,3875847
82273342,237383,15534886
92825847,191604,3936885
34514931,237383,15233382
93452013,191604,3123691
50827557,237383,17153464
77455954,191604,3555693
64496593,237383,22033437
68366232,191604,1734541
59682449,237383,12812825
44977244,210765,4283062
98195376,237383,19702168
96739543,130868,1966384
49427230,237383,19872776
52389807,174186,3193615
92673870,237383,17434637
94125020,191604,4790100
17884661,237383,19926790
45695873,143955,1385755
25865275,237383,23177194
38496149,210765,4726111
98523041,237383,22443440
85553199,143955,2192769
38438656,237383,17954591
56510267,191604,3392522
21722404,237383,20935732
68549810,191604,3245445
43717414,237383,15796139
21980708,143955,2884474
37487368,237383,16350704
20498293,210765,2125135
43101819,237383,20478068
98728870,174186,2437957
88751524,237383,14058301
83076603,174186,2437957
93309738,237383,22184859
37884525,191604,4171676
87064297,237383,18539229
25214488,191604,3875847
20977127,237383,21694030
71524598,89385,559625
48164820,237383,13069934
53644137,158351,2825262
63142186,237383,20330063
32826988,130868,2520681
57589995,237383,19365401
48320215,174186,2351581
52163664,237383,17866215
37403940,158351,2722635
35413465,237383,20465523
34506127,158351,2170771
29218529,237383,17805295
85436392,210765,4486869
79239402,237383,17936748
40161365,130868,1993003
79979517,237383,17240646
80365631,210765,3108675
18273211,237383,11732633
65736874,210765,3628981
45923405,237383,23112451
67558076,191604,3514397
50329263,237383,16721159
32630899,143955,2167501
83773668,237383,15111163
60180754,158351,1431755
53845028,237383,19398882
13163347,191604,3627673
91392033,237383,13017066
45440321,67156,879127
77641327,237383,20217955
95252137,191604,3083473
87027473,237383,20286700
45057974,191604,3025421
46477084,237383,14084315
24482005,108156,1501274
70416552,215802,15571280
44351981,158351,2309093
59605891,237383,9950216
96264549,174186,2730023
89426923,237383,21460565
89536627,191604,3392522
64127581,237383,17486594
36794361,158351,1431755
21937037,237383,21862572
91670173,143955,1556361
36379157,237383,18149216
82256473,174186,3350699
92047001,237383,17439486
36913704,210765,4013080
75053778,237383,16155944
51884040,143955,2432019
22216072,237383,19172193
29068962,191604,4258052
21923921,237383,20066992
90512830,210765,3501280
91552746,237383,17656678
57030212,98323,1953396
43385978,215802,15941006
32696827,174186,3636025
74192584,237383,14706712
92982405,158351,2195683
72815381,237383,18849142
12254881,158351,2705748
84946119,237383,15367742
20512192,158351,2813351
66170624,237383,22364968
83102310,191604,2531374
72248886,237383,11398732
85561719,191604,3285207
84022174,237383,15668204
63242716,210765,4185745
76764849,237383,18331843
47188045,210765,4486869
32065070,237383,14622171
75170559,191604,3936885
60051610,237383,19423036
56584739,191604,3555693
67804245,215802,16635528
76483577,143955,2780252
70187931,237383,20048723
65552019,210765,3787887
50835673,237383,20894844
77450085,210765,4489765
20362715,237383,21715611
66079634,191604,3936885
37496940,237383,19923866
25407375,191604,4258052
20534903,237383,13454584
87004448,191604,3391961
70969616,237383,20822990
89432572,210765,4207401
76532404,237383,20541021
72603501,191604,3392522
16901103,237383,19456219
80946622,191604,4790100
70546278,237383,17376448
94480895,143955,2286461
79670322,237383,19563621
32084177,210765,3430524
57507040,237383,16313849
18216842,191604,3925461
90613692,237383,22125098
45963615,191604,2000565
22549390,237383,12901658
19429971,143955,1991403
98950827,237383,21266376
22921121,191604,4391064
20246097,237383,13724774
32115795,191604,4258052
94805707,237383,15961778
82651553,191604,3700306
86129714,237383,16194265
93049472,67156,633043
26982776,237383,13660919
58116074,191604,2459593
26666352,237383,19938907
53530847,158351,3036827
17433760,237383,18067629
35327083,210765,2446697
76991516,215802,14186767
27212120,191604,2492733
98952641,237383,20688974
11214874,191604,3875847
99967604,237383,19457844
61819960,191604,3677936
91149859,237383,21715611
60026530,191604,2531374
41790788,237383,21248934
40581307,174186,3549649
92972113,237383,17399786
24132465,143955,2390883
54935702,237383,22035040
81832602,174186,2351581
79793570,237383,18907174
17400258,174186,3002479
49236106,237383,17883316
87082351,143955,2570622
60656686,237383,21286676
46320887,118971,2298109
73646374,237383,15573104
65308435,143955,2078435
16061368,178349,10273708
30851909,191604,3328677
62616247,237383,18118701
35465626,191604,3355787
80727150,237383,19714542
30060955,174186,3071841
43049425,237383,20063357
79421098,210765,4640157
51376706,237383,20078614
38158016,191604,4258052
41078866,237383,15980375
89907301,130868,2135725
57544237,237383,22492503
33560086,191604,2892298
16429456,178349,10404089
98027666,158351,2216709
47354752,215802,13989879
86793553,191604,1734541
77379022,237383,19823958
75037967,130868,2038427
76508307,237383,22132602
68300157,191604,3584485
18999224,237383,12219432
56341898,191604,4258052
83258565,237383,19548869
94966192,191604,1734541
49982744,237383,12585351
51284431,191604,4108048
30884847,237383,19789307
22558343,210765,3620255
36354409,237383,14693963
43676980,210765,4715686
64658081,237383,12336466
21450159,191604,4106659
83965757,237383,17909404
68253591,191604,4090204
13853566,237383,16516388
24006960,67156,1125211
44250286,237383,17750193
57916685,191604,4790100
17605924,237383,20041766
80302531,191604,3570089
47891644,215802,15436932
37363705,118971,984383
78941353,237383,19315060
86561490,210765,4715686
92307473,237383,13103248
11222166,191604,3580851
52681099,237383,20810010
86043850,158351,2357855
42949109,237383,17121886
90224292,174186,3095822
90770611,237383,21018806
74559046,191604,4136840
77578407,237383,17958196
86896705,143955,2195358
81722779,237383,17603823
60371765,67156,633043
74974809,237383,17399379
38911463,174186,3096980
14046989,237383,17254072
58390464,191604,4391064
78727895,215802,12061489
30941070,210765,3370647
38689478,237383,20759354
44959769,143955,2750753
54377817,237383,16338670
74110409,143955,2409936
47722070,237383,17809185
76908847,210765,4238689
45499780,237383,16567328
40648461,191604,3479303
84784724,237383,15198257
97823125,191604,2766483
13155143,237383,19301748
25174277,191604,3614571
69584195,237383,18659472
25901473,143955,2859282
48080477,237383,15680208
35976030,210765,4007883
76692753,237383,19304117
78202328,210765,3466551
88091546,237383,17687692
30016400,130868,1747921
62321820,237383,18949451
99702992,210765,2024113
50361959,237383,21823516
50935185,143955,1540087
26836524,237383,19307147
18305447,191604,3555693
64337102,237383,13777518
31474714,210765,4486869
33830950,237383,17676631
20951476,143955,2849449
10592703,237383,20179787
37873643,174186,3085989
11109725,237383,15709644
11146005,143955,1510588
44962135,237383,20414947
65247191,143955,2054707
33048750,237383,19175465
33560422,143955,2853993
62821887,237383,20196245
70352478,191604,3936885
16692403,237383,23587233
60380073,237383,18033183
60042936,237383,18419006
27391725,237383,20805323
12273465,237383,17741824
51550839,237383,15183476
25719242,237383,17267081
73011471,237383,15381131
80823043,237383,21294428
30185268,237383,18107454
56683650,237383,18392855
29930339,237383,17181342
78545809,237383,15738205
43347505,237383,17855849
96238173,237383,17197410
85967628,237383,17441333
67829415,237383,16950817
42554332,237383,20321403
96074179,237383,14169997
72300794,237383,21064378
41759954,237383,19925952
96452975,237383,19087529
10923359,237383,16325868
39744370,237383,21627946
30552581,237383,18289038
75014613,237383,19572178
45645113,237383,17942459
73231638,237383,18180403
40572876,237383,20885434
59767423,237383,11679317
56945801,237383,17158505
38770573,237383,18905700
18126087,237383,19188352
13931913,237383,19430167
50007103,237383,17574742
22639896,237383,21365690
29147160,237383,19943397
83135506,237383,20647010
68824763,237383,19434095
43912242,237383,18590919
74375034,237383,19253378
59325983,237383,18950816
85794484,237383,19455604
69654284,237383,15538289
49669752,237383,19718953
72973373,237383,19427555
40583373,237383,20181171
42926509,237383,17511942
79862352,237383,14587650
33763006,237383,17551639
25145507,237383,18161515
13797086,237383,19611271
76318814,237383,17086967
76600097,237383,21023702
11469087,237383,16022444
83818008,237383,19600803
78042494,237383,21977256
66595554,237383,18490333
32995129,237383,16965778
81828346,237383,18145657
51862477,237383,19690802
75466741,237383,19789406
62995909,237383,19390090
76673300,237383,17947772
92018162,237383,20123059
21266348,237383,20783726
